Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!VesnaKirov";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Новинки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Эля Весна 23";"";"VS-В3106";"RUB";"540 ₽";"1";"";"";"";"Кукла Эля Весна 23 из серии «Моя любимая кукла» может стать настоящей подружкой для ребёнка. В комплект одежды куклы входит трикотажная футболка с короткими рукавами, воротником-стойкой, застёжкой сзади на 'Велкро'. Брюки из трикотажа, верх обработан эластичной тесьмой. Комплект дополняют туфли. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. 				
													<br>
					<span class='moretext'>
						<br>Игровые и дидактические возможности куклы: наличие элементов одежды, которые легко снимаются и надеваются, разнообразит возможности сюжетно-ролевых игр с этой куклой, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. Благодаря небольшому росту куклы, ею очень удобно играть, её можно брать с собой на прогулку, в поездки. Эля Весна 23 может стать незаменимой спутницей вашего ребёнка в его играх! <br><br>Прекрасные прошитые волосы из качественного нейлона, похожие на натуральные, можно завивать, расчёсывать, укладывать в разные причёски, меняя образ куклы. <br><br>Рост куклы 30,5 см. Кукла не озвучена. Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. <br><br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Эля Весна 23";"";"";"elya-vesna-23-vs-1742025883";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/d8e/%D0%B23106_1_%D1%8D%D0%BB%D1%8F_23.jpg";"http://www.vesna.kirov.ru/upload/iblock/3cd/в3106_2_эля_23_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/7ff/в3106_3_эля_23_сп.jpg";"";""
"Эля Весна 20";"";"VS-В3103";"RUB";"475 ₽";"1";"";"";"";"Кукла Эля Весна 20 из серии «Моя любимая кукла» может стать настоящей подружкой для ребёнка. В праздничный комплект одежды куклы входит нарядное платье из трикотажа, короткое, расклешенное книзу, без рукавов и воротника, с застёжкой сзади на 'Велкро'. Ободок из аппликаций и атласной ленты. Комплект дополняют туфли. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. 				
													<br>
					<span class='moretext'>
						<br>Игровые и дидактические возможности куклы: наличие элементов одежды, которые легко снимаются и надеваются, разнообразит возможности сюжетно-ролевых игр с этой куклой, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. Благодаря небольшому росту куклы, ею очень удобно играть, её можно брать с собой на прогулку, в поездки. Эля Весна 20 может стать незаменимой спутницей вашего ребёнка в его играх! <br><br>Прекрасные прошитые волосы из качественного нейлона, похожие на натуральные, можно завивать, расчёсывать, укладывать в разные причёски, меняя образ куклы. <br><br>Рост куклы 30,5 см. Кукла не озвучена. Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. <br><br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Эля Весна 20";"";"";"elya-vesna-20-vs-1364013031";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/c00/%D0%B23103_1_%D1%8D%D0%BB%D1%8F_20.jpg";"http://www.vesna.kirov.ru/upload/iblock/e83/в3103_2_эля_20_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/a42/в3103_3_эля_20_сп.jpg";"";""
"Пупс Весна 9";"";"VS-В2994";"RUB";"910 ₽";"1";"";"";"";"Пупс Весна 9 - кукла из серии «Малыши и малышки», одетый как мальчик. В комплект одежды входит: комбинезон из трикотажа с короткими рукавами и брюками, воротником-стойкой и застёжкой сзади на 'Велкро'. Спереди на верхней части имитация застёжки. Трикотажные шапочка и носки. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Эта кукла очень похожа на настоящего ребёнка, с милым личиком, детскими припухлостями, его так и хочется взять на ручки и позаботиться о нём. Спокойное, приятное выражение лица способствует эмоциональному развитию ребёнка.				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать, купать, катать в коляске. Кукла замечательно подходит для сюжетных игр и разнообразных игровых действий ребёнка, особенно для одной из самых любимых детских игр – в «Дочки-матери». Игра с куклой Пупс Весна помогает развитию у ребёнка эмпатии, умения сопереживать и заботиться об окружающих. <br><br>Рост куклы 42 см. Глаза вставные, не закрывающие. Рельефный паричок. Тело пропорционально и гармонично, полностью  выполнено из современного, эластичного и приятного на ощупь винила усовершенствованной рецептуры. <br><br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.					</span><br>
					<span class='full'>Подробнее</span>";"";"Пупс Весна 9";"";"";"pups-vesna-9-vs-1148404596";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/275/%D0%B22994_1_%D0%BF%D1%83%D0%BF%D1%81_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_9_%D1%81%D0%B8%D0%B4%D1%8F_.jpg";"http://www.vesna.kirov.ru/upload/resize_cache/iblock/941/880_1100_1/в2994_2_пупс_весна_9_сидя_пп.jpg";"";"";""
"Пупс Весна 14";"";"VS-В3040";"RUB";"1092 ₽";"1";"";"";"";"Пупс Весна 14 - кукла из серии «Малыши и малышки», одетая как девочка. В комплект одежды входят: трикотажная однотонная туника с короткими рукавами, обтачкой горловины из цветного трикотажа, с оборкой по низу из мягкой сетки и застёжкой сзади на «Велкро». Спереди на тунике вышивка «Бабочки». Трикотажные разноцветные бриджи длиной чуть ниже колена и шапочка с отворотом по низу и бантиком спереди сбоку на отвороте. Трикотажные носочки. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Эта кукла очень похожа на настоящего ребёнка, с милым личиком, детскими припухлостями, её так и хочется взять на ручки и позаботиться о нём. Спокойное, приятное выражение лица способствует эмоциональному развитию ребёнка.				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать, катать в коляске. Эта кукла замечательно подходит для сюжетных игр и разнообразных игровых действий ребёнка, особенно для одной из самых любимых детских игр – в «Дочки-матери». Игра с Пупсом помогает развитию у ребёнка эмпатии, умения сопереживать и заботиться об окружающих. <br><br>Рост куклы 42 см. Кукла не озвучена. Глаза вставные, закрывающие. Рельефный паричок. Тело пропорционально и гармонично, полностью  выполнено из современного, эластичного и приятного на ощупь винила усовершенствованной рецептуры. <br><br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.					</span><br>
					<span class='full'>Подробнее</span>";"";"Пупс Весна 14";"";"";"pups-vesna-14-vs-987951884";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/af7/%D0%B23040_1_%D0%BF%D1%83%D0%BF%D1%81_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_14_%28%D0%B4%D0%B5%D0%B2%D0%BE%D1%87%D0%BA%D0%B0%29.jpg";"http://www.vesna.kirov.ru/upload/iblock/fc7/в3040_2_пупс_весна_14_(девочка)_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/c7c/в3040_3_пупс_весна_14_(дев)_б.ш..jpg";"http://www.vesna.kirov.ru/upload/iblock/91f/в3040_4_пупс_весна_14_(дев)_сп.jpg";""
"Милана Весна 29 со звуковым устройством";"";"VS-В3068/о";"RUB";"2340 ₽";"1";"";"";"";"Кукла Милана Весна 29 серии «Моя подруга» может стать настоящей подружкой для ребёнка. В комплект одежды входит: нарядное платье с рукавами-'крылышками', без воротника, с застёжкой сзади на 'Велкро'. Лиф платья из шелка с подкладом, юбка платья из ткани гофре. По линии талии настрочена атласная лента с бантом по центру переда. Подъюбник из жёсткой сетки. Колготки из сетки-стрейч, верх обработан эластичной тесьмой. Ободок из шелка наизнанку с застёжкой сзади на 'Велкро'. Комплект дополняют туфли. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Игровые возможности куклы: при нажатии на звуковое устройство, вставленное в спинку, кукла произносит фразы. Продуманная конструкция куклы позволяет её сажать, ставить на ножки, переодевать. Наличие элементов одежды, которые легко снимаются и надеваются, разнообразит возможности сюжетно-ролевых игр с этой куклой, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. Игра с куклой в красивой одежде приучает детей к аккуратности, формирует чувство стиля. 				
													<br>
					<span class='moretext'>
						<br>У куклы длинные густые прошитые волосы из качественного нейлона, похожие на натуральные. Их можно завивать, расчёсывать, укладывать в разные причёски, меняя образ куклы, что даёт возможность ребёнку развивать эстетический вкус. <br><br>Высота куклы 70 см. Глаза вставные закрывающиеся. Тело куклы пропорционально и гармонично: ручки и голова  выполнены из эластичного, приятного на ощупь винила, а туловище и ножки из пластмассы.  <br><br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.<br><br>Кукла произносит фразы:<br><br>-Теперь ты моя подруга.<br><br>-Ты не забыла - сегодня мы идем на праздник?<br><br>-Нам нужно быть красивыми.<br><br>-Сделай мне прическу!<br><br>-Получилось очень красиво!<br><br>-Теперь себе.<br><br>-Не забудь про маникюр?<br><br>-А нарядное платье?<br><br>-Мы сегодня самые красивые!					</span><br>
					<span class='full'>Подробнее</span>";"";"Милана Весна 29 со звуковым устройством";"";"";"milana-vesna-29-so-zvukovym-ustroystvom-vs-2109273942";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/c11/%D0%B23068%D0%BE_1_%D0%BC%D0%B8%D0%BB%D0%B0%D0%BD%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_29.jpg";"http://www.vesna.kirov.ru/upload/iblock/cf5/в3068о_2_милана_весна_29_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/1ca/в3068о_3_милана_весна_29_сп.jpg";"";""
"Милана Весна 27 со звуковым устройством";"";"VS-В3063/о";"RUB";"2600 ₽";"1";"";"";"";"<ul class='pro-info-list'>
								<li>
					<b>Звуковой модуль</b>
					<span>есть</span>
				</li>
								<li>
					<b>Механизм движения</b>
					<span>нет</span>
				</li>
							</ul>";"";"Милана Весна 27 со звуковым устройством";"";"";"milana-vesna-27-so-zvukovym-ustroystvom-vs-1136268263";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/bb9/%D0%B23063%D0%BE_1_%D0%BC%D0%B8%D0%BB%D0%B0%D0%BD%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_27_%D0%BF%D0%BF.jpg";"http://www.vesna.kirov.ru/upload/iblock/c81/в3063о_2_милана_весна_27сп.jpg";"";"";""
"Мальчик Весна 2";"";"VS-В3042";"RUB";"1352 ₽";"1";"";"";"";"Мальчик Весна 2 из серии «Моя любимая кукла» может стать настоящим другом для ребёнка. В комплект одежды куклы входит трикотажная футболка с короткими рукавами, воротником-стойкой, с застёжкой сзади на «Велкро». Брюки из плательно-костюмной ткани, верх обработан эластичной тесьмой. Внизу брюк отвороты. Свитер, вязанный жаккардовым переплетением, низ, манжеты и воротник связаны резинкой. Сбоку к воротнику прикреплен шарф, вязанный гладью, с помпонами на концах. Шапка, связанная гладью. Трикотажные носки. Обувь: кроссовки. Производитель оставляет за собой право изменения цветовой гаммы волос куклы, цвет глаз может варьироваться.				
													<br>
					<span class='moretext'>
						<br>Игровые и дидактические возможности куклы: наличие элементов одежды, которые легко снимаются и надеваются, разнообразит возможности сюжетно-ролевых игр с этой куклой, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. С куклой Мальчик Весна 1 часто приобретают куклу Инна Весна, так как Инна Весна и Мальчик Весна подходят друг к другу по росту и объёму, что может разнообразить игры с этими куклами.<br><br>Прекрасные прошитые волосы из качественного нейлона, похожие на натуральные, можно расчёсывать. Рост куклы 43 см. Кукла не озвучена. Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. <br><br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.					</span><br>
					<span class='full'>Подробнее</span>";"";"Мальчик Весна 2";"";"";"malchik-vesna-2-vs-1386797636";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/5de/%D0%B23042_1_%D0%BC%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_2.jpg";"http://www.vesna.kirov.ru/upload/iblock/8ba/в3042_2_мальчик_весна_2_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/7bd/в3042_3_мальчик_весна_2_сп.jpg";"";""
